module,rank,record id,file name,mount pt,fs type,LUSTRE_MDTS,LUSTRE_OSTS,LUSTRE_OST_ID_0,LUSTRE_STRIPE_OFFSET,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
LUSTRE,-1,4334265500981424099,/mnt/IOLustre/io500/datafiles_0/2024.09.09-23.25.41/ior-rnd1MB/file,UNKNOWN,UNKNOWN,1,6,0,-1,1048576,1
LUSTRE,0,10663038658916089580,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/result_summary.txt,UNKNOWN,UNKNOWN,1,6,1,-1,1048576,1
LUSTRE,0,11195774252563957143,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-read.txt,UNKNOWN,UNKNOWN,1,6,1,-1,1048576,1
LUSTRE,0,12730878170418393913,/mnt/IOLustre/io500/Trace_Dataset/ior-rnd1MB/ior-rnd1MB_api_POSIX_blockSize_1073741824_randomPrefill_0__0.ini,UNKNOWN,UNKNOWN,1,6,4,-1,1048576,1
LUSTRE,0,14437662987562313982,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-write.txt,UNKNOWN,UNKNOWN,1,6,1,-1,1048576,1
LUSTRE,0,14618689764169421368,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/mdworkbench-size,UNKNOWN,UNKNOWN,1,6,4,-1,1048576,1
LUSTRE,0,15502789415957303021,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/config-orig.ini,UNKNOWN,UNKNOWN,1,6,4,-1,1048576,1
LUSTRE,0,3715474689800007699,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-write.csv,UNKNOWN,UNKNOWN,1,6,1,-1,1048576,1
LUSTRE,0,3812312008190885834,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/result.txt,UNKNOWN,UNKNOWN,1,6,0,-1,1048576,1
LUSTRE,0,7156871523217810797,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/timestampfile,UNKNOWN,UNKNOWN,1,6,1,-1,1048576,1
LUSTRE,0,8754637833147255104,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/config.ini,UNKNOWN,UNKNOWN,1,6,0,-1,1048576,1
LUSTRE,0,920678804665686070,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-read.csv,UNKNOWN,UNKNOWN,1,,1,-1,1048576,1
LUSTRE,0,9918556091831914136,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB.stonewall,UNKNOWN,UNKNOWN,1,6,4,-1,1048576,1
