module,rank,record id,file name,mount pt,fs type,STDIO_BYTES_READ,STDIO_BYTES_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_FDOPENS,STDIO_FLUSHES,STDIO_F_CLOSE_END_TIMESTAMP,STDIO_F_CLOSE_START_TIMESTAMP,STDIO_F_FASTEST_RANK_TIME,STDIO_F_META_TIME,STDIO_F_OPEN_END_TIMESTAMP,STDIO_F_OPEN_START_TIMESTAMP,STDIO_F_READ_END_TIMESTAMP,STDIO_F_READ_START_TIMESTAMP,STDIO_F_READ_TIME,STDIO_F_SLOWEST_RANK_TIME,STDIO_F_VARIANCE_RANK_BYTES,STDIO_F_VARIANCE_RANK_TIME,STDIO_F_WRITE_END_TIMESTAMP,STDIO_F_WRITE_START_TIMESTAMP,STDIO_F_WRITE_TIME,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_OPENS,STDIO_READS,STDIO_SEEKS,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES,STDIO_WRITES
STDIO,-1,15920181672442173319,<STDOUT>,UNKNOWN,UNKNOWN,0,3400,2,0,0,2,544.929432,544.926650,0.000015,0.000047,0.000000,0.000000,0.000000,0.000000,0.000000,0.001518,2167500.000000,0.000000,546.680258,0.016663,0.001518,0,3399,4,0,0,0,3400,79
STDIO,0,10663038658916089580,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/result_summary.txt,UNKNOWN,UNKNOWN,0,2006,0,0,0,0,546.685471,546.681254,0.000000,0.005084,0.007651,0.006783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,544.926832,0.016079,0.000691,0,2005,1,0,0,0,0,47
STDIO,0,11195774252563957143,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-read.txt,UNKNOWN,UNKNOWN,0,1771,0,0,0,9,544.917083,544.916511,0.000000,0.001461,326.949255,326.948366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,544.911277,326.953238,0.003563,0,1770,1,0,0,0,0,67
STDIO,0,12730878170418393913,/mnt/IOLustre/io500/Trace_Dataset/ior-rnd1MB/ior-rnd1MB_api_POSIX_blockSize_1073741824_randomPrefill_0__0.ini,UNKNOWN,UNKNOWN,2255,0,0,0,0,0,0.004675,0.004349,0.000000,0.000823,0.004170,0.003674,0.004342,0.004299,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2254,0,1,1,0,0,0,0
STDIO,0,14437662987562313982,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-write.txt,UNKNOWN,UNKNOWN,0,2001,0,0,0,10,326.924181,326.923732,0.000000,0.001025,0.022038,0.021463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,326.916267,0.027148,0.336540,0,2000,1,0,0,0,0,74
STDIO,0,14618689764169421368,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/mdworkbench-size,UNKNOWN,UNKNOWN,0,8,0,0,0,0,326.933890,326.931984,0.000000,0.002766,326.931068,326.930208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,326.931980,326.931134,0.000846,0,7,1,0,0,0,0,1
STDIO,0,15502789415957303021,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/config-orig.ini,UNKNOWN,UNKNOWN,0,2255,0,0,0,0,0.012983,0.011451,0.000000,0.002086,0.010758,0.010203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011449,0.010785,0.000665,0,2254,1,0,0,0,0,1
STDIO,0,3715474689800007699,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-write.csv,UNKNOWN,UNKNOWN,0,383,0,0,0,0,326.917727,0.024857,0.000000,0.003373,326.917088,0.023277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,326.917232,0.023899,0.001003,0,303,2,0,0,0,0,5
STDIO,0,3812312008190885834,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/result.txt,UNKNOWN,UNKNOWN,0,11353,0,0,0,105,546.686584,546.686214,0.000000,0.000837,0.008164,0.007697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,546.686213,0.008214,0.008425,0,11352,1,0,0,0,0,272
STDIO,0,7156871523217810797,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/timestampfile,UNKNOWN,UNKNOWN,0,0,0,0,0,0,326.936387,326.936048,0.000000,0.001261,326.935987,326.935065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0
STDIO,0,8754637833147255104,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/config.ini,UNKNOWN,UNKNOWN,0,2255,0,0,0,0,0.015984,0.014577,0.000000,0.001971,0.013638,0.013073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014576,0.013702,0.000787,0,2254,1,0,0,0,0,169
STDIO,0,920678804665686070,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB-read.csv,UNKNOWN,UNKNOWN,0,379,0,0,0,0,544.913701,326.951093,0.000000,0.003869,544.912091,326.949427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,544.913033,326.950057,0.001102,0,299,,0,0,0,0,5
STDIO,0,9918556091831914136,/mnt/IOLustre/io500/results_0/2024.09.09-23.25.41/ior-rnd1MB.stonewall,UNKNOWN,UNKNOWN,4,4,0,0,0,0,326.957033,326.920178,0.000000,0.003207,326.956542,326.918594,326.956681,326.956567,0.000113,0.000000,0.000000,0.000000,326.920173,326.919359,0.000814,3,3,2,1,0,0,0,1
